idx,text,predicted label
0,감사합니다,1
1,외투스 상담사 사삼입니다,1
2,무엇을 도와드릴까요,1
3,아 네 안녕하세요,1
4,십 일 번가 광고 도움 있는 예 씨 씨 신 지이라는데요 네 네소를 실 쪽 온라인 마케팅 담당단신 가능할까요,1
5,아 네 더 죄송하지만 저희는 고객센터 가지고요 저희 쪽에서 바로 연결은 어려우시고요 저희 그 음식 홈페이지 하단 확인을 해보시면 이메일이라고 해서 헬퍼 골뱅이 웹피스 닷컴이라고 확인이 되실 텐데요,1
6,네 네 이쪽으로 대 작성해서 내일 발송해주셔야 되세요,1
7,저희 유선으로 바로 담당자분 연결은 어려우시거든요,1
8,아 네 알겠습니다,1
9,네 감사합니다,1
10,여기세요,1
11,네 안녕하세요,1
12,피스 상담사 아 네 네합니다,1
13,이 선생님 맞으신가요 예 네 거기는 저희 쪽에 그 불량 건으로 문의를 주셨더라고요 네 여기 쿠팡에서 구매하셨다고 했는데 정확하게 어떤 상품 구매해주 될까요,1
14,그 오 개 딱 떼어은 건데 아 네 상품이 테프 구십 타인가요 팔 번인가요 그 집파 초보랑 분홍색으로행 아 네 소소야 도홍토끼 그림 그려져 있는 거구요,1
15,네 아 네 확인 감사합니다,1
16,이 오십 개 한 구매하신 거죠,1
17,네 지금 원래는 개봉된 상품 교환이나 반품만 진행하는 옷인데 분명히량이 확인되는 거잖아요,1
18,다가 불량이 혹시 몇 개 확인이 되었을까요흠 이고 거 여덟 근데 이걸 우리가 쓰지 않아요 뜨고 나서 또 한 번을 못 한 번 빼고 쭉 바꿔주고 거라에게 노 아이어가 갖고삐끄어지고 고 와이온을 밥 및 와이어만 니트를 좀 마스크 안으로 빠지고 요 이거는 요 와이이어가 아 네자 코 디집되어 있는 그 네과 이용이 조금 이상하다는 말씀이잖아요,0
19,그게 일곱에서 여덟 개 정도 확인이 되는 거구요,1
20,네 근데 그게게요 네 한 벌 이게 파 완전되어 딸 마스크 제가 약국에서 비교와 써봤거든요,1
21,었는데 편 하는 거예요,1
22,애한테 아 레벨 문상 묶 오지면은 그 다른 마트를 초이라고 해도 눈 계속 틀리더라고요 아 네 네 그 회로 길이가 길어가지고 근데 얘는 밀탁되고 가로길에도 탁 좋은데 그 길이가끈이 좀 길어서 그것 묶으면 되더라고요 애들이 이번에는 그 꽃 부분이 조금 불란하다는 근데 한 번 뜨고 이제 어린이 갔다 오자 겨울날를 또려은 얘가 자꾸 내려가요 아 그러세요,0
23,어 일단은 고객님 그 코 디지디 부분은 어쨌든 책은 어 여기도 빠진도 있고 잘 맞지가 않는 건 굉장히 일곱에서 여덟 개 정도 확인이 되셨다고 하시 거예요,0
24,네 그 부분은 더 동일한 제품으로 대표 해드릴 수가 있으세요 그 코 이제 지 탈퇴 혹은 이제 불량이라는 거를 사진을 좀 커서 저희 카카오톡 테널터가 하셔서 사진 해주시면 저희가 사진 확인하고 다시 배 하하도록 하겠습니다,1
25,근데 그게 보일까요,1
26,그 아이어간 밑에 빠져져있는데 제가 만들보면은 밑에 있거든요,1
27,아 그러세요,1
28,열지는 고객님 이렇게 마스크 거 탈타소 와이어를 이렇게 잡아서 이 부분에 있다고 하는 그런 거를 사진을 이렇게 찍어서 보내주시면 될 것 같거든요,0
29,아 네모에는 고객이 그 불편 사항은 메모를 해둘 거라서 이 여행을 사진으로는 어쨌든 불량인 거를 확인을 해야 되는 부분이 그렇게 해서 사진 보내주시는데 사진만 딱 보내주시면 저희가 정보 확인 되지 않기 때문에 기본적인 정보권을 기대해해주시고 전송 해주시면 되세요,1
30,카톡으로 저한테 말 걸어주시는 거예요,1
31,아니요 고객님이 저희 태 목록에서 아 저희 외피트을 검색하셔 가지고 생활을 주문해서 대여해주시면 되세요,1
32,아 그럼 상담원이 바로 음 얼마 아니면 여기가 여섯 시까지 업무이기 때문에 그거를 해주시면 바로 답변 드릴 수 있을 거예요,0
33,아 그러면 지금 밖 가서 사진을 익힌 아 일일로 오면 네 이 일 정도의 했을 때 너무 네 저희가 바로 하 확인은 되는 거니까요 그러면 제가 지금 갖고 있는 이거 다시 연본해줘야 돼요 네 애가 썼던 이제 가게 앉아 찍어워 놓으시면 되는 거구요,0
34,그리고 일단 지금 남아있는 상품은 불량이 있는지 없는지는 확인이 안 되 되는 거잖아요,1
35,사용을 해보시다가 동일한 등산이나 아니면 또 다른 불량사항 있으면 모아두셨다가 별로 연락 연락 그때 대 다시 주시면 되시고 오늘은 지금 확인증 지금 이 정도 현재 확인됐으니까 이 부분은 단과 동일한 상품으로 대체도 해드릴 거예요,1
36,사 일곱 개 여덟 개가 나오는 오는 거예요,1
37,어 저는 지금 여덟 개 정도 확인이 됐다고 하시면 아무래도 조금 불편하게 사용을 하셨으니까 거의 두 개 정도 더 추가해서 열매로 보내드리도록 하겠습니다,1
